TIME,2026-06-12T14:57:58,
SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),-5.0000,20.0000
NUM SWEEP STEPS,46,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
-5.000000e+00,2.307455e-09,1.359444e-09
-4.444444e+00,2.314065e-09,1.316476e-09
-3.888889e+00,2.317684e-09,1.282196e-09
-3.333333e+00,2.318139e-09,1.244812e-09
-2.777778e+00,2.331221e-09,1.226210e-09
-2.222222e+00,2.335802e-09,1.187740e-09
-1.666667e+00,2.341520e-09,1.128050e-09
-1.111111e+00,2.332167e-09,1.004383e-09
-5.555556e-01,2.333957e-09,8.226889e-10
0.000000e+00,2.348682e-09,5.772895e-10
5.555556e-01,2.371861e-09,3.136365e-10
1.111111e+00,2.151779e-09,9.891672e-11
1.666667e+00,1.665428e-09,-6.086023e-11
2.222222e+00,1.212591e-09,-1.931447e-10
2.777778e+00,8.271407e-10,-2.898483e-10
3.333333e+00,5.198154e-10,-3.867818e-10
3.888889e+00,2.745937e-10,-4.510719e-10
4.444444e+00,7.582482e-11,-5.096748e-10
5.000000e+00,-7.017829e-11,-5.537484e-10
5.555556e+00,-1.828112e-10,-5.933390e-10
6.111111e+00,-2.735231e-10,-6.184778e-10
6.666667e+00,-3.443110e-10,-6.370721e-10
7.222222e+00,-3.918068e-10,-6.510439e-10
7.777778e+00,-4.303392e-10,-6.734741e-10
8.333333e+00,-4.748147e-10,-6.937115e-10
8.888889e+00,-4.972370e-10,-7.085956e-10
9.444444e+00,-5.199796e-10,-7.203600e-10
1.000000e+01,-5.366744e-10,-7.444334e-10
1.055556e+01,-5.573706e-10,-7.581962e-10
1.111111e+01,-5.594721e-10,-7.586490e-10
1.166667e+01,-5.675584e-10,-7.706297e-10
1.222222e+01,-5.768076e-10,-7.643506e-10
1.277778e+01,-5.848733e-10,-7.840234e-10
1.333333e+01,-5.916579e-10,-7.925932e-10
1.388889e+01,-6.090976e-10,-7.907190e-10
1.444444e+01,-6.082766e-10,-8.109993e-10
1.500000e+01,-6.166478e-10,-8.216089e-10
1.555556e+01,-6.295642e-10,-8.278950e-10
1.611111e+01,-6.416519e-10,-8.353856e-10
1.666667e+01,-6.454934e-10,-8.443997e-10
1.722222e+01,-6.466556e-10,-8.599735e-10
1.777778e+01,-6.497664e-10,-8.548778e-10
1.833333e+01,-6.499407e-10,-8.623618e-10
1.888889e+01,-6.576857e-10,-8.683408e-10
1.944444e+01,-6.600445e-10,-8.787769e-10
2.000000e+01,-6.627172e-10,-8.873812e-10
