TIME,2026-06-12T17:52:41,
SOURCE,EMINEM,
METER,EMINEM,
SWEEP VOLTAGE RANGE (V),-20.0000,40.0000
NUM SWEEP STEPS,200,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
-2.000000e+01,2.748501e-07,2.779805e-07
-1.969849e+01,2.629780e-07,2.658091e-07
-1.939698e+01,2.517798e-07,2.542503e-07
-1.909548e+01,2.414069e-07,2.436180e-07
-1.879397e+01,2.315747e-07,2.334497e-07
-1.849246e+01,2.222575e-07,2.237390e-07
-1.819095e+01,2.132641e-07,2.148738e-07
-1.788945e+01,2.047306e-07,2.060806e-07
-1.758794e+01,1.963639e-07,1.976032e-07
-1.728643e+01,1.880594e-07,1.893587e-07
-1.698492e+01,1.800416e-07,1.811938e-07
-1.668342e+01,1.724123e-07,1.734022e-07
-1.638191e+01,1.647375e-07,1.657387e-07
-1.608040e+01,1.573316e-07,1.582299e-07
-1.577889e+01,1.502403e-07,1.510518e-07
-1.547739e+01,1.430994e-07,1.437972e-07
-1.517588e+01,1.363302e-07,1.368808e-07
-1.487437e+01,1.295124e-07,1.300319e-07
-1.457286e+01,1.228964e-07,1.233690e-07
-1.427136e+01,1.161856e-07,1.167568e-07
-1.396985e+01,1.096522e-07,1.099701e-07
-1.366834e+01,1.032411e-07,1.035977e-07
-1.336683e+01,9.681256e-08,9.710688e-08
-1.306533e+01,9.034671e-08,9.069261e-08
-1.276382e+01,8.417140e-08,8.424497e-08
-1.246231e+01,7.785055e-08,7.807351e-08
-1.216080e+01,7.197038e-08,7.196662e-08
-1.185930e+01,6.583975e-08,6.584133e-08
-1.155779e+01,5.965772e-08,5.953866e-08
-1.125628e+01,5.349386e-08,5.336719e-08
-1.095477e+01,4.746196e-08,4.725183e-08
-1.065327e+01,4.155520e-08,4.135421e-08
-1.035176e+01,3.547322e-08,3.514852e-08
-1.005025e+01,2.969013e-08,2.922439e-08
-9.748744e+00,2.386230e-08,2.332524e-08
-9.447236e+00,1.804507e-08,1.744809e-08
-9.145729e+00,1.258357e-08,1.170670e-08
-8.844221e+00,6.919564e-09,6.090484e-09
-8.542714e+00,1.508908e-09,3.718572e-10
-8.241206e+00,-4.209690e-09,-5.480991e-09
-7.939698e+00,-9.834218e-09,-1.134749e-08
-7.638191e+00,-1.556570e-08,-1.729896e-08
-7.336683e+00,-2.167947e-08,-2.370021e-08
-7.035176e+00,-2.751868e-08,-2.983449e-08
-6.733668e+00,-3.339732e-08,-3.597254e-08
-6.432161e+00,-3.936848e-08,-4.217734e-08
-6.130653e+00,-4.478593e-08,-4.782763e-08
-5.829146e+00,-5.009794e-08,-5.327086e-08
-5.527638e+00,-5.497229e-08,-5.832955e-08
-5.226131e+00,-5.975333e-08,-6.327446e-08
-4.924623e+00,-6.407090e-08,-6.759430e-08
-4.623116e+00,-6.837180e-08,-7.201119e-08
-4.321608e+00,-7.265070e-08,-7.645544e-08
-4.020101e+00,-7.676574e-08,-8.049165e-08
-3.718593e+00,-8.097854e-08,-8.473708e-08
-3.417085e+00,-8.528853e-08,-8.919119e-08
-3.115578e+00,-8.954549e-08,-9.347999e-08
-2.814070e+00,-9.369924e-08,-9.787567e-08
-2.512563e+00,-9.784226e-08,-1.020583e-07
-2.211055e+00,-1.024838e-07,-1.067771e-07
-1.909548e+00,-1.067976e-07,-1.111220e-07
-1.608040e+00,-1.113427e-07,-1.156314e-07
-1.306533e+00,-1.162223e-07,-1.206711e-07
-1.005025e+00,-1.206591e-07,-1.252299e-07
-7.035176e-01,-1.249015e-07,-1.295839e-07
-4.020101e-01,-1.294367e-07,-1.342535e-07
-1.005025e-01,-1.339137e-07,-1.385528e-07
2.010050e-01,-1.382911e-07,-1.436608e-07
5.025126e-01,-1.430995e-07,-1.478911e-07
8.040201e-01,-1.472957e-07,-1.522330e-07
1.105528e+00,-1.516132e-07,-1.565618e-07
1.407035e+00,-1.560788e-07,-1.609963e-07
1.708543e+00,-1.600556e-07,-1.652288e-07
2.010050e+00,-1.640411e-07,-1.692408e-07
2.311558e+00,-1.680468e-07,-1.732443e-07
2.613065e+00,-1.721512e-07,-1.773116e-07
2.914573e+00,-1.762179e-07,-1.813440e-07
3.216080e+00,-1.805232e-07,-1.858223e-07
3.517588e+00,-1.846702e-07,-1.900815e-07
3.819095e+00,-1.882653e-07,-1.937862e-07
4.120603e+00,-1.921696e-07,-1.976312e-07
4.422111e+00,-1.966192e-07,-2.018250e-07
4.723618e+00,-2.010242e-07,-2.063681e-07
5.025126e+00,-2.056118e-07,-2.110686e-07
5.326633e+00,-2.094265e-07,-2.150016e-07
5.628141e+00,-2.136324e-07,-2.191371e-07
5.929648e+00,-2.174303e-07,-2.233903e-07
6.231156e+00,-2.210516e-07,-2.267710e-07
6.532663e+00,-2.250223e-07,-2.309360e-07
6.834171e+00,-2.286863e-07,-2.344876e-07
7.135678e+00,-2.331882e-07,-2.386200e-07
7.437186e+00,-2.380246e-07,-2.432987e-07
7.738693e+00,-2.428168e-07,-2.484497e-07
8.040201e+00,-2.470676e-07,-2.527257e-07
8.341709e+00,-2.511313e-07,-2.569028e-07
8.643216e+00,-2.558888e-07,-2.617667e-07
8.944724e+00,-2.600563e-07,-2.660190e-07
9.246231e+00,-2.642645e-07,-2.701051e-07
9.547739e+00,-2.695363e-07,-2.750654e-07
9.849246e+00,-2.748030e-07,-2.802901e-07
1.015075e+01,-2.808224e-07,-2.858598e-07
1.045226e+01,-2.869556e-07,-2.922848e-07
1.075377e+01,-2.927557e-07,-2.982468e-07
1.105528e+01,-2.987590e-07,-3.039083e-07
1.135678e+01,-3.048438e-07,-3.102514e-07
1.165829e+01,-3.116341e-07,-3.169803e-07
1.195980e+01,-3.180786e-07,-3.232906e-07
1.226131e+01,-3.244694e-07,-3.300256e-07
1.256281e+01,-3.312371e-07,-3.367530e-07
1.286432e+01,-3.382815e-07,-3.441024e-07
1.316583e+01,-3.452673e-07,-3.508024e-07
1.346734e+01,-3.518785e-07,-3.572469e-07
1.376884e+01,-3.592835e-07,-3.650398e-07
1.407035e+01,-3.665774e-07,-3.724871e-07
1.437186e+01,-3.754251e-07,-3.802511e-07
1.467337e+01,-3.841083e-07,-3.888854e-07
1.497487e+01,-3.933238e-07,-3.980313e-07
1.527638e+01,-4.015149e-07,-4.070241e-07
1.557789e+01,-4.101298e-07,-4.152338e-07
1.587940e+01,-4.186971e-07,-4.240175e-07
1.618090e+01,-4.266321e-07,-4.316621e-07
1.648241e+01,-4.355078e-07,-4.402973e-07
1.678392e+01,-4.447757e-07,-4.500032e-07
1.708543e+01,-4.538060e-07,-4.587581e-07
1.738693e+01,-4.629217e-07,-4.680415e-07
1.768844e+01,-4.735757e-07,-4.779768e-07
1.798995e+01,-4.827834e-07,-4.879591e-07
1.829146e+01,-4.916522e-07,-4.972792e-07
1.859296e+01,-5.020915e-07,-5.071467e-07
1.889447e+01,-5.129452e-07,-5.175062e-07
1.919598e+01,-5.234634e-07,-5.282541e-07
1.949749e+01,-5.335081e-07,-5.387223e-07
1.979899e+01,-5.448813e-07,-5.496760e-07
2.010050e+01,-5.557266e-07,-5.605029e-07
2.040201e+01,-5.671432e-07,-5.715912e-07
2.070352e+01,-5.789885e-07,-5.837219e-07
2.100503e+01,-5.895109e-07,-5.950800e-07
2.130653e+01,-6.003370e-07,-6.052769e-07
2.160804e+01,-6.134222e-07,-6.175894e-07
2.190955e+01,-6.261636e-07,-6.304384e-07
2.221106e+01,-6.386006e-07,-6.432678e-07
2.251256e+01,-6.514972e-07,-6.561758e-07
2.281407e+01,-6.638484e-07,-6.683841e-07
2.311558e+01,-6.754113e-07,-6.801705e-07
2.341709e+01,-6.878723e-07,-6.921016e-07
2.371859e+01,-7.002511e-07,-7.052378e-07
2.402010e+01,-7.126351e-07,-7.174905e-07
2.432161e+01,-7.256598e-07,-7.303242e-07
2.462312e+01,-7.375104e-07,-7.425858e-07
