TIME,2026-06-12T19:03:50,
SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),-1.0000,11.0000
NUM SWEEP STEPS,24,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
-1.000000e+00,-1.248276e-10,-3.534270e-10
-4.782609e-01,-1.343963e-10,-4.548154e-10
4.347826e-02,-1.210626e-10,-5.068252e-10
5.652174e-01,-1.105823e-10,-5.721387e-10
1.086957e+00,-1.581335e-10,-6.007649e-10
1.608696e+00,-2.349062e-10,-6.441775e-10
2.130435e+00,-3.146778e-10,-6.557815e-10
2.652174e+00,-3.790633e-10,-6.798127e-10
3.173913e+00,-4.260649e-10,-7.056060e-10
3.695652e+00,-4.630871e-10,-7.130340e-10
4.217391e+00,-4.895523e-10,-7.230588e-10
4.739130e+00,-4.984042e-10,-7.480710e-10
5.260870e+00,-5.308476e-10,-7.490737e-10
5.782609e+00,-5.457472e-10,-7.581242e-10
6.304348e+00,-5.632557e-10,-7.702856e-10
6.826087e+00,-5.764780e-10,-7.752910e-10
7.347826e+00,-5.786910e-10,-7.864229e-10
7.869565e+00,-5.834027e-10,-7.863954e-10
8.391304e+00,-5.916764e-10,-7.920475e-10
8.913043e+00,-5.940224e-10,-7.991072e-10
9.434783e+00,-6.087887e-10,-8.040981e-10
9.956522e+00,-6.028810e-10,-8.147629e-10
1.047826e+01,-6.020669e-10,-8.174434e-10
1.100000e+01,-6.105084e-10,-8.244048e-10
