TIME,2026-06-12T19:10:58,
SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),-5.0000,20.0000
NUM SWEEP STEPS,50,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
-5.000000e+00,-1.197335e-10,-8.875488e-11
-4.489796e+00,-1.236375e-10,-1.337614e-10
-3.979592e+00,-1.200258e-10,-1.678244e-10
-3.469388e+00,-1.250224e-10,-1.853327e-10
-2.959184e+00,-1.229486e-10,-2.150934e-10
-2.448980e+00,-1.222665e-10,-2.370711e-10
-1.938776e+00,-1.237141e-10,-2.820567e-10
-1.428571e+00,-1.240760e-10,-3.546517e-10
-9.183673e-01,-1.330532e-10,-4.028193e-10
-4.081633e-01,-1.229625e-10,-4.823895e-10
1.020408e-01,-1.246048e-10,-5.242841e-10
6.122449e-01,-1.110485e-10,-5.767331e-10
1.122449e+00,-1.643201e-10,-6.164840e-10
1.632653e+00,-2.497774e-10,-6.391365e-10
2.142857e+00,-3.195073e-10,-6.668506e-10
2.653061e+00,-3.657643e-10,-6.787689e-10
3.163265e+00,-4.181032e-10,-6.955388e-10
3.673469e+00,-4.503866e-10,-7.111400e-10
4.183673e+00,-4.746460e-10,-7.105349e-10
4.693878e+00,-5.014663e-10,-7.325678e-10
5.204082e+00,-5.167062e-10,-7.312380e-10
5.714286e+00,-5.296642e-10,-7.430515e-10
6.224490e+00,-5.549888e-10,-7.583532e-10
6.734694e+00,-5.539862e-10,-7.631710e-10
7.244898e+00,-5.715996e-10,-7.689833e-10
7.755102e+00,-5.726085e-10,-7.691369e-10
8.265306e+00,-5.786215e-10,-7.727985e-10
8.775510e+00,-5.715505e-10,-7.820642e-10
9.285714e+00,-5.859077e-10,-7.745947e-10
9.795918e+00,-5.934930e-10,-7.902440e-10
1.030612e+01,-5.904239e-10,-7.980971e-10
1.081633e+01,-6.027128e-10,-8.113726e-10
1.132653e+01,-5.958378e-10,-8.091308e-10
1.183673e+01,-6.081976e-10,-8.212722e-10
1.234694e+01,-6.037993e-10,-8.264442e-10
1.285714e+01,-6.023516e-10,-8.297373e-10
1.336735e+01,-6.149685e-10,-8.287418e-10
1.387755e+01,-6.050863e-10,-8.250238e-10
1.438776e+01,-6.021430e-10,-8.290616e-10
1.489796e+01,-6.161096e-10,-8.396986e-10
1.540816e+01,-6.062000e-10,-8.408202e-10
1.591837e+01,-6.154557e-10,-8.437994e-10
1.642857e+01,-6.168683e-10,-8.551467e-10
1.693878e+01,-6.155114e-10,-8.553763e-10
1.744898e+01,-6.199721e-10,-8.632920e-10
1.795918e+01,-6.251982e-10,-8.701350e-10
1.846939e+01,-6.284472e-10,-8.661113e-10
1.897959e+01,-6.244534e-10,-8.770688e-10
1.948980e+01,-6.181068e-10,-8.660345e-10
2.000000e+01,-6.246760e-10,-8.933101e-10
