TIME,2026-06-12T20:59:18,
SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),-2.0000,10.0000
NUM SWEEP STEPS,50,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
-2.000000e+00,-1.474577e-10,-2.627099e-10
-1.755102e+00,-1.519395e-10,-2.916075e-10
-1.510204e+00,-1.555165e-10,-3.183471e-10
-1.265306e+00,-1.470264e-10,-3.260672e-10
-1.020408e+00,-1.577852e-10,-3.348806e-10
-7.755102e-01,-1.563097e-10,-3.394405e-10
-5.306122e-01,-1.603669e-10,-3.344767e-10
-2.857143e-01,-1.619745e-10,-3.434221e-10
-4.081633e-02,-1.486827e-10,-3.376023e-10
2.040816e-01,-1.589333e-10,-3.445990e-10
4.489796e-01,-1.512089e-10,-3.362728e-10
6.938776e-01,-1.521622e-10,-3.473836e-10
9.387755e-01,-1.586897e-10,-3.540384e-10
1.183673e+00,-1.578060e-10,-3.570114e-10
1.428571e+00,-1.579939e-10,-3.547558e-10
1.673469e+00,-1.617864e-10,-3.691384e-10
1.918367e+00,-1.449944e-10,-3.521312e-10
2.163265e+00,-1.544098e-10,-3.618219e-10
2.408163e+00,-1.490097e-10,-3.653235e-10
2.653061e+00,-1.516960e-10,-3.689500e-10
2.897959e+00,-1.515221e-10,-3.785155e-10
3.142857e+00,-1.408190e-10,-3.672170e-10
3.387755e+00,-1.413548e-10,-3.601648e-10
3.632653e+00,-1.455789e-10,-3.649545e-10
3.877551e+00,-1.497683e-10,-3.824487e-10
4.122449e+00,-1.597685e-10,-3.772063e-10
4.367347e+00,-1.499700e-10,-3.760791e-10
4.612245e+00,-1.521622e-10,-3.734755e-10
4.857143e+00,-1.531782e-10,-3.849340e-10
5.102041e+00,-1.382720e-10,-3.976320e-10
5.346939e+00,-1.463862e-10,-3.860270e-10
5.591837e+00,-1.493160e-10,-3.862080e-10
5.836735e+00,-1.531852e-10,-3.896957e-10
6.081633e+00,-1.571588e-10,-3.807152e-10
6.326531e+00,-1.545421e-10,-3.966150e-10
6.571429e+00,-1.475971e-10,-3.882545e-10
6.816327e+00,-1.653983e-10,-3.899742e-10
7.061224e+00,-1.441871e-10,-4.036258e-10
7.306122e+00,-1.452031e-10,-3.933783e-10
7.551020e+00,-1.483555e-10,-3.994420e-10
7.795918e+00,-1.455998e-10,-4.016906e-10
8.040816e+00,-1.568387e-10,-4.002147e-10
8.285714e+00,-1.482999e-10,-4.052271e-10
8.530612e+00,-1.497125e-10,-4.037785e-10
8.775510e+00,-1.546048e-10,-4.083388e-10
9.020408e+00,-1.463235e-10,-3.976597e-10
9.265306e+00,-1.314869e-10,-4.040991e-10
9.510204e+00,-1.435609e-10,-3.963649e-10
9.755102e+00,-1.513270e-10,-4.038485e-10
1.000000e+01,-1.463584e-10,-4.096754e-10
