SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),0.0000,16.0000
NUM SWEEP STEPS,32,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,

Voltage (V),Meter current (A),Source current (A)
0.000000e+00,2.373886e-08,8.639073e-09
5.161290e-01,2.367452e-08,8.438536e-09
1.032258e+00,2.360963e-08,8.253449e-09
1.548387e+00,2.347602e-08,8.003148e-09
2.064516e+00,2.330285e-08,7.677723e-09
2.580645e+00,2.303274e-08,7.201957e-09
3.096774e+00,2.252632e-08,6.389147e-09
3.612903e+00,2.094021e-08,5.705775e-09
4.129032e+00,1.831129e-08,5.429384e-09
4.645161e+00,1.603950e-08,5.220073e-09
5.161290e+00,1.543132e-08,5.009665e-09
5.677419e+00,1.502830e-08,4.797944e-09
6.193548e+00,1.468221e-08,4.555894e-09
6.709677e+00,1.436565e-08,4.329583e-09
7.225806e+00,1.404829e-08,4.063970e-09
7.741935e+00,1.366047e-08,3.755578e-09
8.258065e+00,1.323278e-08,3.400507e-09
8.774194e+00,1.272245e-08,3.000319e-09
9.290323e+00,1.211151e-08,2.543193e-09
9.806452e+00,1.126696e-08,2.048539e-09
1.032258e+01,1.030920e-08,1.521841e-09
1.083871e+01,9.115362e-09,1.023144e-09
1.135484e+01,7.726208e-09,5.428877e-10
1.187097e+01,6.145341e-09,1.369615e-10
1.238710e+01,4.568076e-09,-1.874487e-10
1.290323e+01,3.047540e-09,-3.958288e-10
1.341935e+01,1.703262e-09,-4.624371e-10
1.393548e+01,7.812812e-10,-4.898449e-10
1.445161e+01,1.743883e-10,-5.024517e-10
1.496774e+01,-4.518829e-11,-5.202940e-10
1.548387e+01,-2.916145e-11,-5.419029e-10
1.600000e+01,-7.066557e-11,-5.502359e-10
