SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),0.0000,16.0000
NUM SWEEP STEPS,32,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,

Voltage (V),Meter current (A),Source current (A)
0.000000e+00,6.139144e-11,-6.413879e-11
5.161290e-01,1.105724e-10,-5.512349e-11
1.032258e+00,1.765736e-10,-6.285774e-11
1.548387e+00,2.033111e-10,-7.659991e-11
2.064516e+00,2.049881e-10,-9.113569e-11
2.580645e+00,1.864697e-10,-1.223721e-10
3.096774e+00,1.371218e-10,-1.458327e-10
3.612903e+00,6.446751e-11,-1.604381e-10
4.129032e+00,7.652374e-12,-1.654990e-10
4.645161e+00,-2.719203e-11,-1.863001e-10
5.161290e+00,-4.611382e-11,-1.836063e-10
5.677419e+00,-5.554341e-11,-1.938884e-10
6.193548e+00,-5.941968e-11,-2.039340e-10
6.709677e+00,-6.119424e-11,-2.048248e-10
7.225806e+00,-6.390834e-11,-2.107352e-10
7.741935e+00,-6.354642e-11,-2.235306e-10
8.258065e+00,-6.713035e-11,-2.333186e-10
8.774194e+00,-7.378326e-11,-2.410040e-10
9.290323e+00,-7.417293e-11,-2.505136e-10
9.806452e+00,-7.967071e-11,-2.546278e-10
1.032258e+01,-8.853659e-11,-2.686625e-10
1.083871e+01,-9.600377e-11,-2.717392e-10
1.135484e+01,-9.294868e-11,-2.749066e-10
1.187097e+01,-9.933716e-11,-2.836018e-10
1.238710e+01,-9.724940e-11,-2.872004e-10
1.290323e+01,-9.834191e-11,-2.965432e-10
1.341935e+01,-1.022738e-10,-3.020427e-10
1.393548e+01,-1.070269e-10,-3.079183e-10
1.445161e+01,-1.098733e-10,-3.188547e-10
1.496774e+01,-1.132553e-10,-3.218275e-10
1.548387e+01,-1.212305e-10,-3.298052e-10
1.600000e+01,-1.255104e-10,-3.253637e-10
