TIME,2026-06-12T15:24:49,
SOURCE,EMINEM,
METER,EMINEM,
SWEEP VOLTAGE RANGE (V),-10.0000,20.0000
NUM SWEEP STEPS,64,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
-1.000000e+01,1.600101e-08,1.603287e-08
-9.523810e+00,1.499356e-08,1.470756e-08
-9.047619e+00,1.407563e-08,1.377218e-08
-8.571429e+00,1.318197e-08,1.287397e-08
-8.095238e+00,1.228301e-08,1.199473e-08
-7.619048e+00,1.142956e-08,1.112231e-08
-7.142857e+00,1.060873e-08,1.027494e-08
-6.666667e+00,9.782599e-09,9.449562e-09
-6.190476e+00,8.978451e-09,8.640870e-09
-5.714286e+00,8.187977e-09,7.861770e-09
-5.238095e+00,7.408872e-09,7.085700e-09
-4.761905e+00,6.592599e-09,6.317218e-09
-4.285714e+00,5.843841e-09,5.546463e-09
-3.809524e+00,5.093566e-09,4.768120e-09
-3.333333e+00,4.309912e-09,4.018602e-09
-2.857143e+00,3.619569e-09,3.253156e-09
-2.380952e+00,2.860189e-09,2.505157e-09
-1.904762e+00,2.063642e-09,1.717711e-09
-1.428571e+00,1.182127e-09,8.475766e-10
-9.523810e-01,1.481305e-10,-1.659376e-10
-4.761905e-01,-1.048963e-09,-1.402477e-09
0.000000e+00,-2.512327e-09,-2.876461e-09
4.761905e-01,-4.302653e-09,-4.683477e-09
9.523810e-01,-6.531456e-09,-6.944141e-09
1.428571e+00,-9.316319e-09,-9.761626e-09
1.904762e+00,-1.283628e-08,-1.333165e-08
2.380952e+00,-1.727568e-08,-1.785374e-08
2.857143e+00,-2.284162e-08,-2.352437e-08
3.333333e+00,-2.960463e-08,-3.038829e-08
3.809524e+00,-3.721730e-08,-3.822322e-08
4.285714e+00,-4.538226e-08,-4.664079e-08
4.761905e+00,-5.430049e-08,-5.569177e-08
5.238095e+00,-6.354719e-08,-6.521533e-08
5.714286e+00,-7.278403e-08,-7.489450e-08
6.190476e+00,-8.211570e-08,-8.424896e-08
6.666667e+00,-9.132220e-08,-9.370354e-08
7.142857e+00,-1.009004e-07,-1.033083e-07
7.619048e+00,-1.103671e-07,-1.129987e-07
8.095238e+00,-1.196760e-07,-1.225557e-07
8.571429e+00,-1.286822e-07,-1.319739e-07
9.047619e+00,-1.382984e-07,-1.411697e-07
9.523810e+00,-1.469526e-07,-1.506394e-07
1.000000e+01,-1.565838e-07,-1.599590e-07
1.047619e+01,-1.661211e-07,-1.700159e-07
1.095238e+01,-1.755908e-07,-1.795060e-07
1.142857e+01,-1.854155e-07,-1.895257e-07
1.190476e+01,-1.951470e-07,-1.995522e-07
1.238095e+01,-2.047602e-07,-2.092123e-07
1.285714e+01,-2.142708e-07,-2.190501e-07
1.333333e+01,-2.244285e-07,-2.290848e-07
1.380952e+01,-2.346333e-07,-2.393640e-07
1.428571e+01,-2.447281e-07,-2.498245e-07
1.476190e+01,-2.553145e-07,-2.605937e-07
1.523810e+01,-2.652348e-07,-2.705368e-07
1.571429e+01,-2.756489e-07,-2.810350e-07
1.619048e+01,-2.862239e-07,-2.913499e-07
1.666667e+01,-2.968233e-07,-3.022284e-07
1.714286e+01,-3.080315e-07,-3.135300e-07
1.761905e+01,-3.196079e-07,-3.248971e-07
1.809524e+01,-3.315089e-07,-3.373147e-07
1.857143e+01,-3.427780e-07,-3.486527e-07
1.904762e+01,-3.552063e-07,-3.607472e-07
1.952381e+01,-3.669730e-07,-3.730214e-07
2.000000e+01,-3.796032e-07,-3.844939e-07
