TIME,2026-06-12T20:38:50,
SOURCE,EMINEM,
METER,EMINEM,
SWEEP VOLTAGE RANGE (V),-10.0000,40.0000
NUM SWEEP STEPS,150,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
-1.000000e+01,5.280194e-07,5.371526e-07
-9.664430e+00,4.885164e-07,4.962006e-07
-9.328859e+00,4.514399e-07,4.579875e-07
-8.993289e+00,4.163169e-07,4.219491e-07
-8.657718e+00,3.824563e-07,3.872792e-07
-8.322148e+00,3.495359e-07,3.535113e-07
-7.986577e+00,3.178226e-07,3.211332e-07
-7.651007e+00,2.868083e-07,2.894260e-07
-7.315436e+00,2.560018e-07,2.578589e-07
-6.979866e+00,2.249763e-07,2.256392e-07
-6.644295e+00,1.933225e-07,1.917015e-07
-6.308725e+00,1.604156e-07,1.537610e-07
-5.973154e+00,1.270453e-07,1.122873e-07
-5.637584e+00,9.361507e-08,6.821697e-08
-5.302013e+00,5.922223e-08,2.085768e-08
-4.966443e+00,2.504328e-08,-2.828701e-08
-4.630872e+00,-8.950506e-09,-7.946515e-08
-4.295302e+00,-4.066921e-08,-1.290776e-07
-3.959732e+00,-7.264291e-08,-1.816750e-07
-3.624161e+00,-1.037481e-07,-2.329881e-07
-3.288591e+00,-1.341826e-07,-2.842316e-07
-2.953020e+00,-1.649176e-07,-3.373242e-07
-2.617450e+00,-1.944213e-07,-3.895309e-07
-2.281879e+00,-2.233753e-07,-4.388728e-07
-1.946309e+00,-2.518090e-07,-4.882085e-07
-1.610738e+00,-2.781717e-07,-5.312143e-07
-1.275168e+00,-3.098616e-07,-5.849944e-07
-9.395973e-01,-3.395444e-07,-6.388273e-07
-6.040268e-01,-3.691189e-07,-6.921192e-07
-2.684564e-01,-3.957893e-07,-7.377794e-07
6.711409e-02,-4.239777e-07,-8.600675e-07
4.026846e-01,-4.744127e-07,-8.744791e-07
7.382550e-01,-5.309480e-07,-9.574231e-07
1.073826e+00,-6.204339e-07,-1.095091e-06
1.409396e+00,-7.546876e-07,-1.279193e-06
1.744966e+00,-9.450316e-07,-1.507793e-06
2.080537e+00,-1.190999e-06,-1.767738e-06
2.416107e+00,-1.477422e-06,-2.047822e-06
2.751678e+00,-1.807498e-06,-2.364714e-06
3.087248e+00,-2.164975e-06,-2.706133e-06
3.422819e+00,-2.550861e-06,-3.077666e-06
3.758389e+00,-2.946014e-06,-3.447145e-06
4.093960e+00,-3.354503e-06,-3.833852e-06
4.429530e+00,-3.769703e-06,-4.222708e-06
4.765101e+00,-4.197173e-06,-4.627691e-06
5.100671e+00,-4.628789e-06,-5.033683e-06
5.436242e+00,-5.076924e-06,-5.464835e-06
5.771812e+00,-5.525898e-06,-5.895122e-06
6.107383e+00,-5.977988e-06,-6.332320e-06
6.442953e+00,-6.441089e-06,-6.784182e-06
6.778523e+00,-6.900957e-06,-7.225559e-06
7.114094e+00,-7.363147e-06,-7.676384e-06
7.449664e+00,-7.833481e-06,-8.128192e-06
7.785235e+00,-8.313195e-06,-8.602669e-06
8.120805e+00,-8.790901e-06,-9.073628e-06
8.456376e+00,-9.270873e-06,-9.546638e-06
8.791946e+00,-9.781996e-06,-1.000007e-05
9.127517e+00,-1.000006e-05,-1.000006e-05
9.463087e+00,-1.000005e-05,-1.000007e-05
9.798658e+00,-1.000006e-05,-1.000007e-05
1.013423e+01,-1.000006e-05,-1.000007e-05
1.046980e+01,-1.000005e-05,-1.000006e-05
1.080537e+01,-1.000006e-05,-1.000007e-05
1.114094e+01,-1.000005e-05,-1.000007e-05
1.147651e+01,-1.000006e-05,-1.000007e-05
1.181208e+01,-1.000006e-05,-1.000005e-05
1.214765e+01,-1.000005e-05,-1.000006e-05
1.248322e+01,-1.000005e-05,-1.000006e-05
1.281879e+01,-1.000004e-05,-1.000006e-05
1.315436e+01,-1.000005e-05,-1.000006e-05
1.348993e+01,-1.000005e-05,-1.000006e-05
1.382550e+01,-1.000005e-05,-1.000005e-05
1.416107e+01,-1.000004e-05,-1.000005e-05
1.449664e+01,-1.000004e-05,-1.000004e-05
1.483221e+01,-1.000005e-05,-1.000005e-05
1.516779e+01,-1.000005e-05,-1.000005e-05
1.550336e+01,-1.000004e-05,-1.000005e-05
1.583893e+01,-1.000004e-05,-1.000005e-05
1.617450e+01,-1.000005e-05,-1.000006e-05
1.651007e+01,-1.000004e-05,-1.000005e-05
1.684564e+01,-1.000003e-05,-1.000004e-05
1.718121e+01,-1.000003e-05,-1.000004e-05
1.751678e+01,-1.000004e-05,-1.000004e-05
1.785235e+01,-1.000003e-05,-1.000003e-05
1.818792e+01,-1.000005e-05,-1.000005e-05
1.852349e+01,-1.000005e-05,-1.000006e-05
1.885906e+01,-1.000005e-05,-1.000006e-05
1.919463e+01,-1.000003e-05,-1.000004e-05
1.953020e+01,-1.000003e-05,-1.000003e-05
1.986577e+01,-1.000003e-05,-1.000005e-05
2.020134e+01,-1.000003e-05,-1.000004e-05
2.053691e+01,-1.000003e-05,-1.000003e-05
2.087248e+01,-1.000002e-05,-1.000004e-05
2.120805e+01,-1.000003e-05,-1.000004e-05
2.154362e+01,-1.000003e-05,-1.000004e-05
2.187919e+01,-1.000002e-05,-1.000004e-05
2.221477e+01,-1.000003e-05,-1.000003e-05
2.255034e+01,-1.000003e-05,-1.000003e-05
2.288591e+01,-1.000002e-05,-1.000003e-05
2.322148e+01,-1.000003e-05,-1.000004e-05
2.355705e+01,-1.000003e-05,-1.000003e-05
2.389262e+01,-1.000003e-05,-1.000004e-05
2.422819e+01,-1.000002e-05,-1.000003e-05
2.456376e+01,-1.000002e-05,-1.000003e-05
2.489933e+01,-1.000003e-05,-1.000004e-05
2.523490e+01,-1.000003e-05,-1.000005e-05
2.557047e+01,-1.000004e-05,-1.000005e-05
2.590604e+01,-1.000003e-05,-1.000004e-05
2.624161e+01,-1.000002e-05,-1.000003e-05
2.657718e+01,-1.000003e-05,-1.000004e-05
2.691275e+01,-1.000002e-05,-1.000003e-05
2.724832e+01,-1.000003e-05,-1.000003e-05
2.758389e+01,-1.000002e-05,-1.000002e-05
2.791946e+01,-1.000001e-05,-1.000002e-05
2.825503e+01,-1.000002e-05,-1.000003e-05
2.859060e+01,-1.000003e-05,-1.000005e-05
2.892617e+01,-1.000001e-05,-1.000003e-05
2.926174e+01,-1.000004e-05,-1.000004e-05
2.959732e+01,-1.000002e-05,-1.000002e-05
2.993289e+01,-1.000001e-05,-1.000001e-05
3.026846e+01,-1.000002e-05,-1.000002e-05
3.060403e+01,-1.000003e-05,-1.000003e-05
3.093960e+01,-1.000001e-05,-1.000002e-05
3.127517e+01,-1.000001e-05,-1.000003e-05
3.161074e+01,-1.000001e-05,-1.000002e-05
3.194631e+01,-1.000001e-05,-1.000004e-05
3.228188e+01,-1.000001e-05,-1.000002e-05
3.261745e+01,-9.999998e-06,-1.000001e-05
3.295302e+01,-1.000001e-05,-1.000002e-05
3.328859e+01,-1.000001e-05,-1.000002e-05
3.362416e+01,-1.000001e-05,-1.000002e-05
3.395973e+01,-1.000000e-05,-1.000001e-05
3.429530e+01,-9.999996e-06,-1.000001e-05
3.463087e+01,-1.000001e-05,-1.000003e-05
3.496644e+01,-9.999992e-06,-1.000001e-05
3.530201e+01,-1.000000e-05,-1.000002e-05
3.563758e+01,-9.999997e-06,-1.000002e-05
3.597315e+01,-1.000001e-05,-1.000001e-05
3.630872e+01,-9.999996e-06,-1.000001e-05
3.664430e+01,-9.999996e-06,-1.000001e-05
3.697987e+01,-1.000001e-05,-1.000002e-05
3.731544e+01,-1.000000e-05,-1.000001e-05
3.765101e+01,-9.999996e-06,-1.000001e-05
3.798658e+01,-1.000000e-05,-1.000001e-05
3.832215e+01,-1.000001e-05,-1.000002e-05
3.865772e+01,-1.000003e-05,-1.000003e-05
3.899329e+01,-9.999999e-06,-1.000001e-05
3.932886e+01,-9.999995e-06,-1.000001e-05
3.966443e+01,-9.999989e-06,-9.999998e-06
