TIME,2026-06-12T19:00:45,
SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),-2.0000,11.0000
NUM SWEEP STEPS,60,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
-2.000000e+00,-1.280982e-10,-2.263434e-10
-1.779661e+00,-1.187801e-10,-2.748099e-10
-1.559322e+00,-1.243822e-10,-2.987365e-10
-1.338983e+00,-1.226216e-10,-3.396290e-10
-1.118644e+00,-1.135400e-10,-3.511084e-10
-8.983051e-01,-1.114174e-10,-3.910962e-10
-6.779661e-01,-1.125171e-10,-4.094463e-10
-4.576271e-01,-1.143612e-10,-4.362767e-10
-2.372881e-01,-1.230738e-10,-4.834693e-10
-1.694915e-02,-1.294206e-10,-4.987846e-10
2.033898e-01,-1.222805e-10,-5.159519e-10
4.237288e-01,-1.225450e-10,-5.423640e-10
6.440678e-01,-1.158712e-10,-5.690682e-10
8.644068e-01,-1.348973e-10,-5.770815e-10
1.084746e+00,-1.568185e-10,-6.044469e-10
1.305085e+00,-1.941120e-10,-6.147085e-10
1.525424e+00,-2.140288e-10,-6.091601e-10
1.745763e+00,-2.584555e-10,-6.244898e-10
1.966102e+00,-2.864590e-10,-6.315488e-10
2.186441e+00,-3.271486e-10,-6.414689e-10
2.406780e+00,-3.447895e-10,-6.562481e-10
2.627119e+00,-3.709490e-10,-6.755113e-10
2.847458e+00,-3.978177e-10,-6.639479e-10
3.067797e+00,-4.101842e-10,-6.734225e-10
3.288136e+00,-4.269345e-10,-6.887234e-10
3.508475e+00,-4.508668e-10,-6.866359e-10
3.728814e+00,-4.505329e-10,-6.948226e-10
3.949153e+00,-4.527877e-10,-7.040528e-10
4.169492e+00,-4.876314e-10,-6.957545e-10
4.389831e+00,-4.841732e-10,-7.101799e-10
4.610169e+00,-5.112161e-10,-7.124909e-10
4.830508e+00,-5.270057e-10,-7.158255e-10
5.050847e+00,-5.263864e-10,-7.239351e-10
5.271186e+00,-5.249253e-10,-7.180321e-10
5.491525e+00,-5.474521e-10,-7.142799e-10
5.711864e+00,-5.429765e-10,-7.188814e-10
5.932203e+00,-5.513696e-10,-7.287667e-10
6.152542e+00,-5.628175e-10,-7.485857e-10
6.372881e+00,-5.784954e-10,-7.386729e-10
6.593220e+00,-5.816699e-10,-7.485237e-10
6.813559e+00,-5.727063e-10,-7.515175e-10
7.033898e+00,-5.726647e-10,-7.450642e-10
7.254237e+00,-5.734851e-10,-7.313987e-10
7.474576e+00,-5.880024e-10,-7.426060e-10
7.694915e+00,-5.855322e-10,-7.439575e-10
7.915254e+00,-5.940221e-10,-7.459132e-10
8.135593e+00,-6.056783e-10,-7.446107e-10
8.355932e+00,-5.894010e-10,-7.478830e-10
8.576271e+00,-5.905490e-10,-7.627324e-10
8.796610e+00,-6.033334e-10,-7.650785e-10
9.016949e+00,-6.072580e-10,-7.688515e-10
9.237288e+00,-5.982113e-10,-7.503267e-10
9.457627e+00,-6.025118e-10,-7.673271e-10
9.677966e+00,-6.057482e-10,-7.683228e-10
9.898305e+00,-6.055115e-10,-7.625240e-10
1.011864e+01,-6.156577e-10,-7.691643e-10
1.033898e+01,-6.127697e-10,-7.672011e-10
1.055932e+01,-6.159084e-10,-7.801710e-10
1.077966e+01,-6.055117e-10,-7.744554e-10
1.100000e+01,-6.178775e-10,-7.763912e-10
