TIME,2026-06-09T15:34:37,
,,
PARAMETER,VALUE,2SIGMA
BEAM SPEED (m/s),5419.900796796803,26.329925680177915
BEAM ENERGY (eV),6.083291103791255,0.05910536323778261
BEAM DENSITY, FIT (m^-3),38841467119.163826,3030548941.1732974
BEAM DENSITY, SATURATION (m^-3),39905364359.385025,2053894980.9381053
BEAM TEMPERATURE (eV),0.15627153293545562,0.018508184547102253
THERMAL SPEED (km/s),614.252561505943,36.37482641057169
AFLVEN SPEED (km/s),702844.2388891937,27419.19940151391
PLASMA FREQUENCY (rad/s),41194.16427280519,1607.0573562072518
