TIME,2026-06-12T14:56:32,
SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),-5.0000,20.0000
NUM SWEEP STEPS,46,
NUM POWER LINE CYCLES,10.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
-5.000000e+00,8.240137e-10,2.923951e-10
-4.444444e+00,8.178739e-10,2.768806e-10
-3.888889e+00,8.011366e-10,2.534071e-10
-3.333333e+00,8.108113e-10,2.322611e-10
-2.777778e+00,7.932625e-10,2.094426e-10
-2.222222e+00,7.836953e-10,1.724685e-10
-1.666667e+00,7.762548e-10,1.376203e-10
-1.111111e+00,7.615787e-10,7.462867e-11
-5.555556e-01,7.716254e-10,-3.113443e-11
0.000000e+00,7.598449e-10,-1.743760e-10
5.555556e-01,7.591233e-10,-3.294583e-10
1.111111e+00,6.242971e-10,-4.409128e-10
1.666667e+00,3.489840e-10,-5.389159e-10
2.222222e+00,1.044692e-10,-6.167490e-10
2.777778e+00,-8.973517e-11,-6.591305e-10
3.333333e+00,-2.369092e-10,-7.103066e-10
3.888889e+00,-3.568121e-10,-7.519691e-10
4.444444e+00,-4.234570e-10,-7.730932e-10
5.000000e+00,-4.839798e-10,-7.867532e-10
5.555556e+00,-5.353381e-10,-8.146859e-10
6.111111e+00,-5.752575e-10,-8.262414e-10
6.666667e+00,-6.029182e-10,-8.324998e-10
7.222222e+00,-6.239929e-10,-8.487104e-10
7.777778e+00,-6.353240e-10,-8.633671e-10
8.333333e+00,-6.509148e-10,-8.605441e-10
8.888889e+00,-6.795140e-10,-8.880244e-10
9.444444e+00,-7.038999e-10,-9.077477e-10
1.000000e+01,-7.157323e-10,-9.186477e-10
1.055556e+01,-7.311908e-10,-9.272060e-10
1.111111e+01,-7.377602e-10,-9.398471e-10
1.166667e+01,-7.384143e-10,-9.318195e-10
1.222222e+01,-7.582539e-10,-9.427458e-10
1.277778e+01,-7.738798e-10,-9.508383e-10
1.333333e+01,-7.794959e-10,-9.488587e-10
1.388889e+01,-7.880962e-10,-9.667004e-10
1.444444e+01,-7.863121e-10,-9.648679e-10
1.500000e+01,-8.015817e-10,-9.764640e-10
1.555556e+01,-8.080622e-10,-9.736063e-10
1.611111e+01,-8.099051e-10,-9.773423e-10
1.666667e+01,-8.193305e-10,-9.842560e-10
1.722222e+01,-8.116788e-10,-9.879915e-10
1.777778e+01,-8.165522e-10,-9.895443e-10
1.833333e+01,-8.271250e-10,-9.979499e-10
1.888889e+01,-8.245490e-10,-9.889033e-10
1.944444e+01,-8.367491e-10,-1.003532e-09
2.000000e+01,-8.310649e-10,-9.995382e-10
