TIME,2026-06-12T17:56:32,
SOURCE,EMINEM,
METER,EMINEM,
SWEEP VOLTAGE RANGE (V),-20.0000,40.0000
NUM SWEEP STEPS,200,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
-2.000000e+01,3.805487e-07,3.839300e-07
-1.969849e+01,3.664069e-07,3.692410e-07
-1.939698e+01,3.532836e-07,3.559902e-07
-1.909548e+01,3.406168e-07,3.430103e-07
-1.879397e+01,3.285977e-07,3.306382e-07
-1.849246e+01,3.168852e-07,3.188958e-07
-1.819095e+01,3.058405e-07,3.076051e-07
-1.788945e+01,2.948648e-07,2.965859e-07
-1.758794e+01,2.846183e-07,2.860646e-07
-1.728643e+01,2.746754e-07,2.759936e-07
-1.698492e+01,2.648782e-07,2.661359e-07
-1.668342e+01,2.554496e-07,2.565457e-07
-1.638191e+01,2.458457e-07,2.469168e-07
-1.608040e+01,2.364139e-07,2.373303e-07
-1.577889e+01,2.274215e-07,2.283111e-07
-1.547739e+01,2.184540e-07,2.192399e-07
-1.517588e+01,2.095745e-07,2.103695e-07
-1.487437e+01,2.011570e-07,2.016812e-07
-1.457286e+01,1.928943e-07,1.933560e-07
-1.427136e+01,1.843563e-07,1.849062e-07
-1.396985e+01,1.761253e-07,1.765265e-07
-1.366834e+01,1.679329e-07,1.684147e-07
-1.336683e+01,1.600608e-07,1.601906e-07
-1.306533e+01,1.522076e-07,1.524383e-07
-1.276382e+01,1.447029e-07,1.448189e-07
-1.246231e+01,1.370157e-07,1.371986e-07
-1.216080e+01,1.292908e-07,1.292665e-07
-1.185930e+01,1.219223e-07,1.218989e-07
-1.155779e+01,1.143893e-07,1.143999e-07
-1.125628e+01,1.068540e-07,1.068221e-07
-1.095477e+01,9.930805e-08,9.924437e-08
-1.065327e+01,9.195555e-08,9.181368e-08
-1.035176e+01,8.444674e-08,8.421684e-08
-1.005025e+01,7.719962e-08,7.689926e-08
-9.748744e+00,6.984719e-08,6.952097e-08
-9.447236e+00,6.235512e-08,6.199474e-08
-9.145729e+00,5.501168e-08,5.463385e-08
-8.844221e+00,4.777517e-08,4.727757e-08
-8.542714e+00,4.057366e-08,3.999945e-08
-8.241206e+00,3.325224e-08,3.256729e-08
-7.939698e+00,2.618263e-08,2.532851e-08
-7.638191e+00,1.908426e-08,1.803748e-08
-7.336683e+00,1.150266e-08,1.042780e-08
-7.035176e+00,4.187311e-09,2.737741e-09
-6.733668e+00,-3.496666e-09,-5.180612e-09
-6.432161e+00,-1.166001e-08,-1.381879e-08
-6.130653e+00,-1.992498e-08,-2.235154e-08
-5.829146e+00,-2.856621e-08,-3.140387e-08
-5.527638e+00,-3.761855e-08,-4.088024e-08
-5.226131e+00,-4.725495e-08,-5.109464e-08
-4.924623e+00,-5.674794e-08,-6.107771e-08
-4.623116e+00,-6.621909e-08,-7.095002e-08
-4.321608e+00,-7.597074e-08,-8.120912e-08
-4.020101e+00,-8.514220e-08,-9.064760e-08
-3.718593e+00,-9.424612e-08,-1.001020e-07
-3.417085e+00,-1.038392e-07,-1.099484e-07
-3.115578e+00,-1.129128e-07,-1.193050e-07
-2.814070e+00,-1.220607e-07,-1.284621e-07
-2.512563e+00,-1.311760e-07,-1.379422e-07
-2.211055e+00,-1.412267e-07,-1.480208e-07
-1.909548e+00,-1.507401e-07,-1.577276e-07
-1.608040e+00,-1.605516e-07,-1.676675e-07
-1.306533e+00,-1.710386e-07,-1.783954e-07
-1.005025e+00,-1.808866e-07,-1.883855e-07
-7.035176e-01,-1.907718e-07,-1.985967e-07
-4.020101e-01,-2.020381e-07,-2.097434e-07
-1.005025e-01,-2.125742e-07,-2.206276e-07
2.010050e-01,-2.226749e-07,-2.322067e-07
5.025126e-01,-2.337274e-07,-2.422328e-07
8.040201e-01,-2.438494e-07,-2.525170e-07
1.105528e+00,-2.538308e-07,-2.627231e-07
1.407035e+00,-2.638010e-07,-2.727836e-07
1.708543e+00,-2.735360e-07,-2.827424e-07
2.010050e+00,-2.829266e-07,-2.921497e-07
2.311558e+00,-2.924271e-07,-3.017915e-07
2.613065e+00,-3.016305e-07,-3.112260e-07
2.914573e+00,-3.103748e-07,-3.202030e-07
3.216080e+00,-3.201060e-07,-3.297458e-07
3.517588e+00,-3.289188e-07,-3.388707e-07
3.819095e+00,-3.377488e-07,-3.475612e-07
4.120603e+00,-3.473403e-07,-3.568909e-07
4.422111e+00,-3.568791e-07,-3.667263e-07
4.723618e+00,-3.661802e-07,-3.762603e-07
5.025126e+00,-3.762836e-07,-3.861651e-07
5.326633e+00,-3.860339e-07,-3.960774e-07
5.628141e+00,-3.964296e-07,-4.062069e-07
5.929648e+00,-4.065639e-07,-4.166529e-07
6.231156e+00,-4.161167e-07,-4.261960e-07
6.532663e+00,-4.273875e-07,-4.368061e-07
6.834171e+00,-4.382751e-07,-4.483663e-07
7.135678e+00,-4.489212e-07,-4.587948e-07
7.437186e+00,-4.598089e-07,-4.697814e-07
7.738693e+00,-4.726511e-07,-4.817583e-07
8.040201e+00,-4.859236e-07,-4.951258e-07
8.341709e+00,-4.989798e-07,-5.085187e-07
8.643216e+00,-5.132158e-07,-5.226167e-07
8.944724e+00,-5.270211e-07,-5.362289e-07
9.246231e+00,-5.411557e-07,-5.505087e-07
9.547739e+00,-5.563869e-07,-5.660294e-07
9.849246e+00,-5.706766e-07,-5.802594e-07
1.015075e+01,-5.858936e-07,-5.953661e-07
1.045226e+01,-6.016979e-07,-6.109934e-07
1.075377e+01,-6.188318e-07,-6.280795e-07
1.105528e+01,-6.356248e-07,-6.443270e-07
1.135678e+01,-6.536100e-07,-6.624069e-07
1.165829e+01,-6.732583e-07,-6.818318e-07
1.195980e+01,-6.921214e-07,-7.009966e-07
1.226131e+01,-7.113668e-07,-7.195919e-07
1.256281e+01,-7.319261e-07,-7.406343e-07
1.286432e+01,-7.523437e-07,-7.607568e-07
1.316583e+01,-7.732353e-07,-7.809053e-07
1.346734e+01,-7.946737e-07,-8.026907e-07
1.376884e+01,-8.163561e-07,-8.249430e-07
1.407035e+01,-8.387576e-07,-8.465569e-07
1.437186e+01,-8.626184e-07,-8.700271e-07
1.467337e+01,-8.884159e-07,-8.956326e-07
1.497487e+01,-9.131937e-07,-9.211265e-07
1.527638e+01,-9.367785e-07,-9.455624e-07
1.557789e+01,-9.625574e-07,-9.698041e-07
1.587940e+01,-9.871941e-07,-9.945610e-07
1.618090e+01,-1.012396e-06,-1.020114e-06
1.648241e+01,-1.036572e-06,-1.044542e-06
1.678392e+01,-1.065297e-06,-1.072354e-06
1.708543e+01,-1.093839e-06,-1.100183e-06
1.738693e+01,-1.123772e-06,-1.130116e-06
1.768844e+01,-1.153152e-06,-1.160246e-06
1.798995e+01,-1.182558e-06,-1.188828e-06
1.829146e+01,-1.213114e-06,-1.219437e-06
1.859296e+01,-1.243720e-06,-1.249678e-06
1.889447e+01,-1.273332e-06,-1.280899e-06
1.919598e+01,-1.303918e-06,-1.309651e-06
1.949749e+01,-1.334494e-06,-1.340888e-06
1.979899e+01,-1.367194e-06,-1.373313e-06
2.010050e+01,-1.398547e-06,-1.405088e-06
2.040201e+01,-1.429976e-06,-1.436171e-06
2.070352e+01,-1.464296e-06,-1.469928e-06
2.100503e+01,-1.497700e-06,-1.503503e-06
2.130653e+01,-1.530094e-06,-1.536639e-06
2.160804e+01,-1.563757e-06,-1.570318e-06
2.190955e+01,-1.597199e-06,-1.602132e-06
2.221106e+01,-1.633105e-06,-1.638693e-06
2.251256e+01,-1.668207e-06,-1.674230e-06
2.281407e+01,-1.702958e-06,-1.707950e-06
2.311558e+01,-1.737298e-06,-1.743406e-06
2.341709e+01,-1.773374e-06,-1.777915e-06
2.371859e+01,-1.811156e-06,-1.815887e-06
2.402010e+01,-1.848083e-06,-1.852329e-06
2.432161e+01,-1.886073e-06,-1.891427e-06
2.462312e+01,-1.922698e-06,-1.927757e-06
