TIME,2026-06-12T17:50:59,
SOURCE,EMINEM,
METER,EMINEM,
SWEEP VOLTAGE RANGE (V),-10.0000,40.0000
NUM SWEEP STEPS,150,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
-1.000000e+01,4.437090e-08,4.459163e-08
-9.664430e+00,4.200503e-08,4.206641e-08
-9.328859e+00,3.970362e-08,3.968464e-08
-8.993289e+00,3.747120e-08,3.750160e-08
-8.657718e+00,3.528058e-08,3.527983e-08
-8.322148e+00,3.308311e-08,3.306336e-08
-7.986577e+00,3.093264e-08,3.091820e-08
-7.651007e+00,2.880342e-08,2.876622e-08
-7.315436e+00,2.675460e-08,2.669619e-08
-6.979866e+00,2.472171e-08,2.465496e-08
-6.644295e+00,2.265774e-08,2.264864e-08
-6.308725e+00,2.072954e-08,2.063321e-08
-5.973154e+00,1.875506e-08,1.866403e-08
-5.637584e+00,1.684884e-08,1.671230e-08
-5.302013e+00,1.490545e-08,1.477347e-08
-4.966443e+00,1.302049e-08,1.291960e-08
-4.630872e+00,1.111049e-08,1.104753e-08
-4.295302e+00,9.431847e-09,9.280135e-09
-3.959732e+00,7.728919e-09,7.585556e-09
-3.624161e+00,6.231568e-09,6.062414e-09
-3.288591e+00,4.809310e-09,4.659879e-09
-2.953020e+00,3.559236e-09,3.415874e-09
-2.617450e+00,2.377435e-09,2.284133e-09
-2.281879e+00,1.223697e-09,1.036338e-09
-1.946309e+00,5.858125e-11,-1.052632e-10
-1.610738e+00,-1.152799e-09,-1.330296e-09
-1.275168e+00,-2.390726e-09,-2.606149e-09
-9.395973e-01,-3.692371e-09,-3.878210e-09
-6.040268e-01,-5.053939e-09,-5.286047e-09
-2.684564e-01,-6.564933e-09,-6.774296e-09
6.711409e-02,-8.150272e-09,-8.594016e-09
4.026846e-01,-1.004206e-08,-1.029237e-08
7.382550e-01,-1.193839e-08,-1.222283e-08
1.073826e+00,-1.401147e-08,-1.428530e-08
1.409396e+00,-1.614065e-08,-1.647289e-08
1.744966e+00,-1.841931e-08,-1.875684e-08
2.080537e+00,-2.084131e-08,-2.111968e-08
2.416107e+00,-2.316847e-08,-2.353865e-08
2.751678e+00,-2.561324e-08,-2.600465e-08
3.087248e+00,-2.813460e-08,-2.852144e-08
3.422819e+00,-3.065824e-08,-3.106479e-08
3.758389e+00,-3.312424e-08,-3.358086e-08
4.093960e+00,-3.566985e-08,-3.616138e-08
4.429530e+00,-3.822081e-08,-3.872296e-08
4.765101e+00,-4.080970e-08,-4.134673e-08
5.100671e+00,-4.338566e-08,-4.385520e-08
5.436242e+00,-4.605042e-08,-4.658513e-08
5.771812e+00,-4.873030e-08,-4.929999e-08
6.107383e+00,-5.152704e-08,-5.211867e-08
6.442953e+00,-5.429639e-08,-5.491080e-08
6.778523e+00,-5.713259e-08,-5.777429e-08
7.114094e+00,-6.004461e-08,-6.064384e-08
7.449664e+00,-6.294070e-08,-6.360972e-08
7.785235e+00,-6.575480e-08,-6.649973e-08
8.120805e+00,-6.885422e-08,-6.947544e-08
8.456376e+00,-7.176013e-08,-7.250880e-08
8.791946e+00,-7.483217e-08,-7.553228e-08
9.127517e+00,-7.798468e-08,-7.868930e-08
9.463087e+00,-8.111665e-08,-8.192296e-08
9.798658e+00,-8.426077e-08,-8.498746e-08
1.013423e+01,-8.771967e-08,-8.834701e-08
1.046980e+01,-9.123242e-08,-9.199703e-08
1.080537e+01,-9.491139e-08,-9.560687e-08
1.114094e+01,-9.832248e-08,-9.917585e-08
1.147651e+01,-1.018625e-07,-1.027341e-07
1.181208e+01,-1.054580e-07,-1.062833e-07
1.214765e+01,-1.091891e-07,-1.101624e-07
1.248322e+01,-1.126549e-07,-1.136145e-07
1.281879e+01,-1.162921e-07,-1.173397e-07
1.315436e+01,-1.198921e-07,-1.209382e-07
1.348993e+01,-1.236476e-07,-1.247172e-07
1.382550e+01,-1.272332e-07,-1.283262e-07
1.416107e+01,-1.306451e-07,-1.317974e-07
1.449664e+01,-1.344339e-07,-1.355049e-07
1.483221e+01,-1.379551e-07,-1.390989e-07
1.516779e+01,-1.416954e-07,-1.429667e-07
1.550336e+01,-1.453992e-07,-1.464734e-07
1.583893e+01,-1.490251e-07,-1.502396e-07
1.617450e+01,-1.527563e-07,-1.539130e-07
1.651007e+01,-1.564755e-07,-1.576634e-07
1.684564e+01,-1.598539e-07,-1.612867e-07
1.718121e+01,-1.637033e-07,-1.649110e-07
1.751678e+01,-1.674021e-07,-1.687054e-07
1.785235e+01,-1.716280e-07,-1.726906e-07
1.818792e+01,-1.761708e-07,-1.772084e-07
1.852349e+01,-1.803381e-07,-1.814547e-07
1.885906e+01,-1.842810e-07,-1.854316e-07
1.919463e+01,-1.880600e-07,-1.894335e-07
1.953020e+01,-1.922251e-07,-1.934029e-07
1.986577e+01,-1.963243e-07,-1.976926e-07
2.020134e+01,-2.006054e-07,-2.018727e-07
2.053691e+01,-2.044639e-07,-2.059621e-07
2.087248e+01,-2.084577e-07,-2.097175e-07
2.120805e+01,-2.126483e-07,-2.141366e-07
2.154362e+01,-2.164109e-07,-2.178733e-07
2.187919e+01,-2.205496e-07,-2.218056e-07
2.221477e+01,-2.245953e-07,-2.259018e-07
2.255034e+01,-2.286033e-07,-2.299408e-07
2.288591e+01,-2.325587e-07,-2.338648e-07
2.322148e+01,-2.370999e-07,-2.383203e-07
2.355705e+01,-2.412989e-07,-2.424011e-07
2.389262e+01,-2.459559e-07,-2.468084e-07
2.422819e+01,-2.501165e-07,-2.512822e-07
2.456376e+01,-2.547774e-07,-2.560808e-07
2.489933e+01,-2.591118e-07,-2.603641e-07
2.523490e+01,-2.637721e-07,-2.648970e-07
2.557047e+01,-2.698874e-07,-2.736141e-07
2.590604e+01,-2.724665e-07,-2.740216e-07
2.624161e+01,-2.776131e-07,-2.783822e-07
2.657718e+01,-2.827038e-07,-2.836754e-07
2.691275e+01,-2.873958e-07,-2.886415e-07
2.724832e+01,-2.925628e-07,-2.934769e-07
2.758389e+01,-2.976619e-07,-2.986526e-07
2.791946e+01,-3.036636e-07,-3.043653e-07
2.825503e+01,-3.093336e-07,-3.099343e-07
2.859060e+01,-3.152980e-07,-3.158585e-07
2.892617e+01,-3.214964e-07,-3.218493e-07
2.926174e+01,-3.271326e-07,-3.280542e-07
2.959732e+01,-3.329781e-07,-3.338142e-07
2.993289e+01,-3.386886e-07,-3.394312e-07
3.026846e+01,-3.442717e-07,-3.451227e-07
3.060403e+01,-3.494953e-07,-3.503061e-07
3.093960e+01,-3.552417e-07,-3.560115e-07
3.127517e+01,-3.607976e-07,-3.619506e-07
3.161074e+01,-3.668024e-07,-3.672918e-07
3.194631e+01,-3.722690e-07,-3.733847e-07
3.228188e+01,-3.777479e-07,-3.785247e-07
3.261745e+01,-3.836498e-07,-3.845112e-07
3.295302e+01,-3.888809e-07,-3.902352e-07
3.328859e+01,-3.949251e-07,-3.953173e-07
3.362416e+01,-4.007822e-07,-4.017396e-07
3.395973e+01,-4.077116e-07,-4.078034e-07
3.429530e+01,-4.137064e-07,-4.144748e-07
3.463087e+01,-4.208903e-07,-4.213499e-07
3.496644e+01,-4.269108e-07,-4.274312e-07
3.530201e+01,-4.337519e-07,-4.342722e-07
3.563758e+01,-4.399346e-07,-4.407308e-07
3.597315e+01,-4.457580e-07,-4.466567e-07
3.630872e+01,-4.535603e-07,-4.538380e-07
3.664430e+01,-4.608242e-07,-4.616161e-07
3.697987e+01,-4.680775e-07,-4.686280e-07
3.731544e+01,-4.745937e-07,-4.750827e-07
3.765101e+01,-4.818814e-07,-4.821081e-07
3.798658e+01,-4.885769e-07,-4.893503e-07
3.832215e+01,-4.956269e-07,-4.961360e-07
3.865772e+01,-5.026392e-07,-5.033650e-07
3.899329e+01,-5.096272e-07,-5.101824e-07
3.932886e+01,-5.172649e-07,-5.172967e-07
3.966443e+01,-5.242655e-07,-5.250648e-07
