TIME,2026-06-12T18:16:44,
SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),-2.0000,11.0000
NUM SWEEP STEPS,50,
NUM POWER LINE CYCLES,5.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
-2.000000e+00,-3.277918e-10,-4.056182e-10
-1.734694e+00,-3.241882e-10,-4.638101e-10
-1.469388e+00,-3.261325e-10,-4.851818e-10
-1.204082e+00,-3.259878e-10,-4.876604e-10
-9.387755e-01,-3.268980e-10,-5.401296e-10
-6.734694e-01,-3.302064e-10,-5.674606e-10
-4.081633e-01,-3.302093e-10,-5.879766e-10
-1.428571e-01,-3.303776e-10,-6.041692e-10
1.224490e-01,-3.242132e-10,-6.213782e-10
3.877551e-01,-3.235535e-10,-6.523988e-10
6.530612e-01,-3.284582e-10,-6.736181e-10
9.183673e-01,-3.374785e-10,-6.924211e-10
1.183673e+00,-3.638395e-10,-7.029610e-10
1.448980e+00,-3.993683e-10,-7.095604e-10
1.714286e+00,-4.344337e-10,-7.323174e-10
1.979592e+00,-4.613274e-10,-7.471466e-10
2.244898e+00,-4.839251e-10,-7.539125e-10
2.510204e+00,-5.023194e-10,-7.573448e-10
2.775510e+00,-5.220149e-10,-7.557718e-10
3.040816e+00,-5.407322e-10,-7.616469e-10
3.306122e+00,-5.582902e-10,-7.691451e-10
3.571429e+00,-5.792813e-10,-7.725766e-10
3.836735e+00,-5.933524e-10,-7.907534e-10
4.102041e+00,-6.108589e-10,-7.969558e-10
4.367347e+00,-6.202950e-10,-7.981043e-10
4.632653e+00,-6.285905e-10,-7.944147e-10
4.897959e+00,-6.382729e-10,-8.008048e-10
5.163265e+00,-6.533729e-10,-8.306292e-10
5.428571e+00,-6.655814e-10,-8.275179e-10
5.693878e+00,-6.730068e-10,-8.298494e-10
5.959184e+00,-6.793332e-10,-8.217038e-10
6.224490e+00,-6.847972e-10,-8.201944e-10
6.489796e+00,-6.855066e-10,-8.267929e-10
6.755102e+00,-6.919830e-10,-8.345067e-10
7.020408e+00,-6.962340e-10,-8.377994e-10
7.285714e+00,-7.014962e-10,-8.436057e-10
7.551020e+00,-7.074867e-10,-8.421788e-10
7.816327e+00,-7.097942e-10,-8.330313e-10
8.081633e+00,-7.143299e-10,-8.479561e-10
8.346939e+00,-7.203874e-10,-8.538596e-10
8.612245e+00,-7.177133e-10,-8.567491e-10
8.877551e+00,-7.206833e-10,-8.353076e-10
9.142857e+00,-7.258987e-10,-8.521124e-10
9.408163e+00,-7.288104e-10,-8.549604e-10
9.673469e+00,-7.260046e-10,-8.609050e-10
9.938776e+00,-7.283598e-10,-8.519590e-10
1.020408e+01,-7.327990e-10,-8.600828e-10
1.046939e+01,-7.344776e-10,-8.569440e-10
1.073469e+01,-7.370108e-10,-8.709020e-10
1.100000e+01,-7.366771e-10,-8.502122e-10
