TIME,2026-06-12T19:08:02,
SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),-1.0000,10.0000
NUM SWEEP STEPS,49,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
-1.000000e+00,-1.291422e-10,-3.668697e-10
-7.708333e-01,-1.193787e-10,-4.080822e-10
-5.416667e-01,-1.222666e-10,-4.464752e-10
-3.125000e-01,-1.337142e-10,-4.598137e-10
-8.333333e-02,-1.329070e-10,-4.883142e-10
1.458333e-01,-1.283419e-10,-5.268536e-10
3.750000e-01,-1.168802e-10,-5.459139e-10
6.041667e-01,-1.260663e-10,-5.769970e-10
8.333333e-01,-1.272215e-10,-5.877674e-10
1.062500e+00,-1.662548e-10,-5.902382e-10
1.291667e+00,-2.114052e-10,-6.131488e-10
1.520833e+00,-2.349130e-10,-6.333447e-10
1.750000e+00,-2.631461e-10,-6.274062e-10
1.979167e+00,-3.078928e-10,-6.362895e-10
2.208333e+00,-3.341352e-10,-6.338463e-10
2.437500e+00,-3.533561e-10,-6.657303e-10
2.666667e+00,-3.666413e-10,-6.609336e-10
2.895833e+00,-4.052850e-10,-6.729420e-10
3.125000e+00,-4.099548e-10,-6.841084e-10
3.354167e+00,-4.317710e-10,-6.824585e-10
3.583333e+00,-4.559818e-10,-7.003491e-10
3.812500e+00,-4.614236e-10,-7.000923e-10
4.041667e+00,-4.743398e-10,-7.111955e-10
4.270833e+00,-4.913683e-10,-7.071717e-10
4.500000e+00,-5.029627e-10,-7.150937e-10
4.729167e+00,-5.081679e-10,-7.156093e-10
4.958333e+00,-5.109305e-10,-7.142033e-10
5.187500e+00,-5.204505e-10,-7.369186e-10
5.416667e+00,-5.415852e-10,-7.274648e-10
5.645833e+00,-5.407854e-10,-7.341813e-10
5.875000e+00,-5.546824e-10,-7.346982e-10
6.104167e+00,-5.571873e-10,-7.372321e-10
6.333333e+00,-5.647241e-10,-7.509315e-10
6.562500e+00,-5.632491e-10,-7.438108e-10
6.791667e+00,-5.584678e-10,-7.478484e-10
7.020833e+00,-5.724559e-10,-7.492824e-10
7.250000e+00,-5.740289e-10,-7.539467e-10
7.479167e+00,-5.762624e-10,-7.479874e-10
7.708333e+00,-5.884686e-10,-7.414294e-10
7.937500e+00,-5.828179e-10,-7.609009e-10
8.166667e+00,-5.931309e-10,-7.559518e-10
8.395833e+00,-5.945228e-10,-7.707520e-10
8.625000e+00,-5.883015e-10,-7.640412e-10
8.854167e+00,-5.838411e-10,-7.623354e-10
9.083333e+00,-5.977797e-10,-7.740935e-10
9.312500e+00,-5.892966e-10,-7.707866e-10
9.541667e+00,-5.959219e-10,-7.671381e-10
9.770833e+00,-5.961023e-10,-7.758199e-10
1.000000e+01,-6.163253e-10,-7.756595e-10
