SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),0.0000,16.0000
NUM SWEEP STEPS,32,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,

Voltage (V),Meter current (A),Source current (A)
0.000000e+00,1.231628e-08,4.265227e-09
5.161290e-01,1.233423e-08,4.163296e-09
1.032258e+00,1.234329e-08,4.061372e-09
1.548387e+00,1.229318e-08,3.964424e-09
2.064516e+00,1.219682e-08,3.842277e-09
2.580645e+00,1.208800e-08,3.702067e-09
3.096774e+00,1.189684e-08,3.537275e-09
3.612903e+00,1.169634e-08,3.343985e-09
4.129032e+00,1.142976e-08,3.127716e-09
4.645161e+00,1.100911e-08,2.861668e-09
5.161290e+00,1.048598e-08,2.546599e-09
5.677419e+00,9.655399e-09,2.179452e-09
6.193548e+00,8.607280e-09,1.858640e-09
6.709677e+00,7.477210e-09,1.621971e-09
7.225806e+00,6.623299e-09,1.454829e-09
7.741935e+00,6.192145e-09,1.287667e-09
8.258065e+00,5.971310e-09,1.123364e-09
8.774194e+00,5.769691e-09,9.376612e-10
9.290323e+00,5.515267e-09,7.347575e-10
9.806452e+00,5.238959e-09,5.141850e-10
1.032258e+01,4.907459e-09,2.958054e-10
1.083871e+01,4.465317e-09,7.615855e-11
1.135484e+01,3.905919e-09,-1.206664e-10
1.187097e+01,3.266795e-09,-2.869504e-10
1.238710e+01,2.540044e-09,-4.212106e-10
1.290323e+01,1.771064e-09,-4.898728e-10
1.341935e+01,1.060917e-09,-5.215268e-10
1.393548e+01,4.995303e-10,-5.420496e-10
1.445161e+01,1.104332e-10,-5.563277e-10
1.496774e+01,-6.051919e-11,-5.644932e-10
1.548387e+01,-1.074097e-10,-5.706614e-10
1.600000e+01,-1.358237e-10,-5.800597e-10
