TIME,2026-06-12T17:58:31,
SOURCE,EMINEM,
METER,EMINEM,
SWEEP VOLTAGE RANGE (V),-20.0000,40.0000
NUM SWEEP STEPS,200,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
-2.000000e+01,4.430368e-07,4.472719e-07
-1.969849e+01,4.263701e-07,4.299780e-07
-1.939698e+01,4.107444e-07,4.138892e-07
-1.909548e+01,3.959932e-07,3.988353e-07
-1.879397e+01,3.818450e-07,3.844333e-07
-1.849246e+01,3.684126e-07,3.706829e-07
-1.819095e+01,3.553710e-07,3.575065e-07
-1.788945e+01,3.426432e-07,3.446552e-07
-1.758794e+01,3.302401e-07,3.320771e-07
-1.728643e+01,3.183605e-07,3.199796e-07
-1.698492e+01,3.067715e-07,3.082234e-07
-1.668342e+01,2.954060e-07,2.968734e-07
-1.638191e+01,2.843961e-07,2.856196e-07
-1.608040e+01,2.736559e-07,2.747224e-07
-1.577889e+01,2.630765e-07,2.641277e-07
-1.547739e+01,2.527444e-07,2.536276e-07
-1.517588e+01,2.428950e-07,2.435451e-07
-1.487437e+01,2.329854e-07,2.336286e-07
-1.457286e+01,2.232435e-07,2.238071e-07
-1.427136e+01,2.136715e-07,2.141084e-07
-1.396985e+01,2.043004e-07,2.046532e-07
-1.366834e+01,1.950113e-07,1.953642e-07
-1.336683e+01,1.857502e-07,1.860195e-07
-1.306533e+01,1.766640e-07,1.768663e-07
-1.276382e+01,1.677381e-07,1.678952e-07
-1.246231e+01,1.586979e-07,1.588222e-07
-1.216080e+01,1.498024e-07,1.498396e-07
-1.185930e+01,1.411649e-07,1.410611e-07
-1.155779e+01,1.325101e-07,1.323879e-07
-1.125628e+01,1.236906e-07,1.235017e-07
-1.095477e+01,1.150469e-07,1.148210e-07
-1.065327e+01,1.064565e-07,1.061402e-07
-1.035176e+01,9.770365e-08,9.732068e-08
-1.005025e+01,8.913757e-08,8.868012e-08
-9.748744e+00,8.039619e-08,7.990998e-08
-9.447236e+00,7.161683e-08,7.093040e-08
-9.145729e+00,6.301117e-08,6.225112e-08
-8.844221e+00,5.437071e-08,5.351435e-08
-8.542714e+00,4.582652e-08,4.478051e-08
-8.241206e+00,3.691824e-08,3.565378e-08
-7.939698e+00,2.812830e-08,2.660972e-08
-7.638191e+00,1.926933e-08,1.748448e-08
-7.336683e+00,9.897585e-09,7.769880e-09
-7.035176e+00,6.214166e-10,-1.990978e-09
-6.733668e+00,-8.987687e-09,-1.193306e-08
-6.432161e+00,-1.922940e-08,-2.278011e-08
-6.130653e+00,-2.950906e-08,-3.358920e-08
-5.829146e+00,-4.007088e-08,-4.484203e-08
-5.527638e+00,-5.102941e-08,-5.645670e-08
-5.226131e+00,-6.263874e-08,-6.882534e-08
-4.924623e+00,-7.394392e-08,-8.078819e-08
-4.623116e+00,-8.514820e-08,-9.264778e-08
-4.321608e+00,-9.685539e-08,-1.049801e-07
-4.020101e+00,-1.077107e-07,-1.163952e-07
-3.718593e+00,-1.184554e-07,-1.274631e-07
-3.417085e+00,-1.295823e-07,-1.391383e-07
-3.115578e+00,-1.401790e-07,-1.499958e-07
-2.814070e+00,-1.507394e-07,-1.607254e-07
-2.512563e+00,-1.612169e-07,-1.714403e-07
-2.211055e+00,-1.728104e-07,-1.830832e-07
-1.909548e+00,-1.839038e-07,-1.943192e-07
-1.608040e+00,-1.951082e-07,-2.058019e-07
-1.306533e+00,-2.071568e-07,-2.181729e-07
-1.005025e+00,-2.183929e-07,-2.297456e-07
-7.035176e-01,-2.296670e-07,-2.412119e-07
-4.020101e-01,-2.416500e-07,-2.535085e-07
-1.005025e-01,-2.528856e-07,-2.648994e-07
2.010050e-01,-2.634922e-07,-2.776776e-07
5.025126e-01,-2.756524e-07,-2.881849e-07
8.040201e-01,-2.866720e-07,-2.994800e-07
1.105528e+00,-2.976526e-07,-3.105721e-07
1.407035e+00,-3.089048e-07,-3.219485e-07
1.708543e+00,-3.198711e-07,-3.331416e-07
2.010050e+00,-3.300313e-07,-3.435455e-07
2.311558e+00,-3.407115e-07,-3.542998e-07
2.613065e+00,-3.513515e-07,-3.651042e-07
2.914573e+00,-3.610851e-07,-3.749684e-07
3.216080e+00,-3.717667e-07,-3.854468e-07
3.517588e+00,-3.824472e-07,-3.962951e-07
3.819095e+00,-3.924673e-07,-4.064457e-07
4.120603e+00,-4.031610e-07,-4.170807e-07
4.422111e+00,-4.134935e-07,-4.274735e-07
4.723618e+00,-4.243291e-07,-4.384401e-07
5.025126e+00,-4.355107e-07,-4.495215e-07
5.326633e+00,-4.461089e-07,-4.602128e-07
5.628141e+00,-4.577749e-07,-4.716863e-07
5.929648e+00,-4.702692e-07,-4.839559e-07
6.231156e+00,-4.825262e-07,-4.961250e-07
6.532663e+00,-4.964121e-07,-5.098044e-07
6.834171e+00,-5.104086e-07,-5.237394e-07
7.135678e+00,-5.240158e-07,-5.375143e-07
7.437186e+00,-5.384025e-07,-5.516458e-07
7.738693e+00,-5.543320e-07,-5.674216e-07
8.040201e+00,-5.695978e-07,-5.825606e-07
8.341709e+00,-5.852434e-07,-5.983631e-07
8.643216e+00,-6.030470e-07,-6.154814e-07
8.944724e+00,-6.208261e-07,-6.332332e-07
9.246231e+00,-6.390193e-07,-6.515464e-07
9.547739e+00,-6.587472e-07,-6.712318e-07
9.849246e+00,-6.776236e-07,-6.900884e-07
1.015075e+01,-6.976604e-07,-7.098328e-07
1.045226e+01,-7.182338e-07,-7.304253e-07
1.075377e+01,-7.406741e-07,-7.525888e-07
1.105528e+01,-7.628729e-07,-7.745234e-07
1.135678e+01,-7.856258e-07,-7.973150e-07
1.165829e+01,-8.104141e-07,-8.219641e-07
1.195980e+01,-8.363285e-07,-8.472849e-07
1.226131e+01,-8.625041e-07,-8.735794e-07
1.256281e+01,-8.900345e-07,-9.011104e-07
1.286432e+01,-9.176077e-07,-9.283639e-07
1.316583e+01,-9.451426e-07,-9.561501e-07
1.346734e+01,-9.729648e-07,-9.839536e-07
1.376884e+01,-1.002113e-06,-1.013134e-06
1.407035e+01,-1.031634e-06,-1.042076e-06
1.437186e+01,-1.062498e-06,-1.072307e-06
1.467337e+01,-1.095952e-06,-1.105743e-06
1.497487e+01,-1.127643e-06,-1.137648e-06
1.527638e+01,-1.160762e-06,-1.170125e-06
1.557789e+01,-1.195158e-06,-1.205210e-06
1.587940e+01,-1.227243e-06,-1.237160e-06
1.618090e+01,-1.261337e-06,-1.270551e-06
1.648241e+01,-1.296616e-06,-1.305893e-06
1.678392e+01,-1.333023e-06,-1.342397e-06
1.708543e+01,-1.367891e-06,-1.377279e-06
1.738693e+01,-1.403366e-06,-1.412737e-06
1.768844e+01,-1.440211e-06,-1.450062e-06
1.798995e+01,-1.478337e-06,-1.486680e-06
1.829146e+01,-1.516295e-06,-1.525172e-06
1.859296e+01,-1.555683e-06,-1.564600e-06
1.889447e+01,-1.592615e-06,-1.602045e-06
1.919598e+01,-1.631666e-06,-1.639778e-06
1.949749e+01,-1.674868e-06,-1.682038e-06
1.979899e+01,-1.718354e-06,-1.726197e-06
2.010050e+01,-1.760062e-06,-1.768224e-06
2.040201e+01,-1.801822e-06,-1.809899e-06
2.070352e+01,-1.845174e-06,-1.852880e-06
2.100503e+01,-1.886838e-06,-1.895106e-06
2.130653e+01,-1.930187e-06,-1.937660e-06
2.160804e+01,-1.975254e-06,-1.982707e-06
2.190955e+01,-2.019745e-06,-2.026746e-06
2.221106e+01,-2.064043e-06,-2.071452e-06
2.251256e+01,-2.109831e-06,-2.117634e-06
2.281407e+01,-2.156017e-06,-2.163092e-06
2.311558e+01,-2.201207e-06,-2.208940e-06
2.341709e+01,-2.248365e-06,-2.255287e-06
2.371859e+01,-2.294833e-06,-2.302243e-06
2.402010e+01,-2.341083e-06,-2.348294e-06
2.432161e+01,-2.389683e-06,-2.394814e-06
2.462312e+01,-2.442303e-06,-2.447939e-06
