TIME,2026-06-12T15:25:39,
SOURCE,EMINEM,
METER,EMINEM,
SWEEP VOLTAGE RANGE (V),-10.0000,20.0000
NUM SWEEP STEPS,128,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
-1.000000e+01,1.996920e-08,1.998360e-08
-9.763780e+00,1.935926e-08,1.924244e-08
-9.527559e+00,1.886085e-08,1.870306e-08
-9.291339e+00,1.833361e-08,1.819024e-08
-9.055118e+00,1.784962e-08,1.770927e-08
-8.818898e+00,1.733982e-08,1.720176e-08
-8.582677e+00,1.687177e-08,1.672914e-08
-8.346457e+00,1.640977e-08,1.624818e-08
-8.110236e+00,1.589997e-08,1.574596e-08
-7.874016e+00,1.542507e-08,1.525287e-08
-7.637795e+00,1.495929e-08,1.478633e-08
-7.401575e+00,1.449502e-08,1.434178e-08
-7.165354e+00,1.406337e-08,1.389192e-08
-6.929134e+00,1.359606e-08,1.345419e-08
-6.692913e+00,1.313558e-08,1.299448e-08
-6.456693e+00,1.270469e-08,1.251656e-08
-6.220472e+00,1.227076e-08,1.210008e-08
-5.984252e+00,1.182090e-08,1.166842e-08
-5.748031e+00,1.139380e-08,1.120870e-08
-5.511811e+00,1.096747e-08,1.080132e-08
-5.275591e+00,1.055933e-08,1.037195e-08
-5.039370e+00,1.013071e-08,9.966089e-09
-4.803150e+00,9.714990e-09,9.543539e-09
-4.566929e+00,9.250720e-09,9.095205e-09
-4.330709e+00,8.845622e-09,8.674175e-09
-4.094488e+00,8.416245e-09,8.216728e-09
-3.858268e+00,8.024040e-09,7.838180e-09
-3.622047e+00,7.604528e-09,7.450529e-09
-3.385827e+00,7.214598e-09,7.059084e-09
-3.149606e+00,6.807223e-09,6.649431e-09
-2.913386e+00,6.432471e-09,6.262538e-09
-2.677165e+00,6.000062e-09,5.866544e-09
-2.440945e+00,5.645790e-09,5.458413e-09
-2.204724e+00,5.251312e-09,5.061660e-09
-1.968504e+00,4.831040e-09,4.681592e-09
-1.732283e+00,4.501043e-09,4.302285e-09
-1.496063e+00,4.098219e-09,3.900220e-09
-1.259843e+00,3.683258e-09,3.526227e-09
-1.023622e+00,3.338089e-09,3.165884e-09
-7.874016e-01,2.962575e-09,2.797200e-09
-5.511811e-01,2.580236e-09,2.451271e-09
-3.149606e-01,2.220655e-09,2.056035e-09
-7.874016e-02,1.869417e-09,1.679763e-09
1.574803e-01,1.498455e-09,1.301975e-09
3.937008e-01,1.119908e-09,9.370826e-10
6.299213e-01,7.428786e-10,5.562602e-10
8.661417e-01,3.499175e-10,1.655748e-10
1.102362e+00,-6.731882e-11,-1.955242e-10
1.338583e+00,-4.663469e-10,-6.514468e-10
1.574803e+00,-9.199932e-10,-1.093714e-09
1.811024e+00,-1.388812e-09,-1.571635e-09
2.047244e+00,-1.899354e-09,-2.101902e-09
2.283465e+00,-2.429619e-09,-2.638236e-09
2.519685e+00,-3.032710e-09,-3.231464e-09
2.755906e+00,-3.723799e-09,-3.883106e-09
2.992126e+00,-4.439164e-09,-4.623503e-09
3.228346e+00,-5.236458e-09,-5.429145e-09
3.464567e+00,-6.174850e-09,-6.337191e-09
3.700787e+00,-7.103386e-09,-7.336276e-09
3.937008e+00,-8.173777e-09,-8.412739e-09
4.173228e+00,-9.387541e-09,-9.618164e-09
4.409449e+00,-1.070676e-08,-1.094951e-08
4.645669e+00,-1.216707e-08,-1.243638e-08
4.881890e+00,-1.381855e-08,-1.409014e-08
5.118110e+00,-1.562479e-08,-1.591762e-08
5.354331e+00,-1.762144e-08,-1.796964e-08
5.590551e+00,-1.985781e-08,-2.020374e-08
5.826772e+00,-2.237941e-08,-2.274278e-08
6.062992e+00,-2.515969e-08,-2.557845e-08
6.299213e+00,-2.809094e-08,-2.854686e-08
6.535433e+00,-3.122927e-08,-3.172314e-08
6.771654e+00,-3.452619e-08,-3.504885e-08
7.007874e+00,-3.789210e-08,-3.848682e-08
7.244094e+00,-4.137562e-08,-4.202651e-08
7.480315e+00,-4.514436e-08,-4.579293e-08
7.716535e+00,-4.907467e-08,-4.968232e-08
7.952756e+00,-5.270992e-08,-5.353071e-08
8.188976e+00,-5.649383e-08,-5.800268e-08
8.425197e+00,-6.043629e-08,-6.134056e-08
8.661417e+00,-6.449559e-08,-6.540971e-08
8.897638e+00,-6.850782e-08,-6.950085e-08
9.133858e+00,-7.265511e-08,-7.374522e-08
9.370079e+00,-7.675384e-08,-7.785609e-08
9.606299e+00,-8.109606e-08,-8.229998e-08
9.842520e+00,-8.512577e-08,-8.647608e-08
1.007874e+01,-8.923824e-08,-9.060142e-08
1.031496e+01,-9.329823e-08,-9.477905e-08
1.055118e+01,-9.749103e-08,-9.902040e-08
1.078740e+01,-1.018621e-07,-1.032154e-07
1.102362e+01,-1.061793e-07,-1.076115e-07
1.125984e+01,-1.103638e-07,-1.119393e-07
1.149606e+01,-1.148433e-07,-1.164295e-07
1.173228e+01,-1.190020e-07,-1.208294e-07
1.196850e+01,-1.235566e-07,-1.250692e-07
1.220472e+01,-1.276523e-07,-1.294540e-07
1.244094e+01,-1.319983e-07,-1.337924e-07
1.267717e+01,-1.364809e-07,-1.382773e-07
1.291339e+01,-1.408656e-07,-1.427537e-07
1.314961e+01,-1.452025e-07,-1.471545e-07
1.338583e+01,-1.492983e-07,-1.513032e-07
1.362205e+01,-1.534220e-07,-1.555173e-07
1.385827e+01,-1.575109e-07,-1.595698e-07
1.409449e+01,-1.624865e-07,-1.641190e-07
1.433071e+01,-1.674130e-07,-1.693397e-07
1.456693e+01,-1.715192e-07,-1.737805e-07
1.480315e+01,-1.759107e-07,-1.778915e-07
1.503937e+01,-1.802264e-07,-1.823771e-07
1.527559e+01,-1.851104e-07,-1.870757e-07
1.551181e+01,-1.904387e-07,-1.924436e-07
1.574803e+01,-1.955326e-07,-1.977098e-07
1.598425e+01,-2.003665e-07,-2.026248e-07
1.622047e+01,-2.051668e-07,-2.072106e-07
1.645669e+01,-2.099050e-07,-2.130777e-07
1.669291e+01,-2.141098e-07,-2.167672e-07
1.692913e+01,-2.177740e-07,-2.205307e-07
1.716535e+01,-2.228301e-07,-2.246501e-07
1.740157e+01,-2.287966e-07,-2.308637e-07
1.763780e+01,-2.342312e-07,-2.365503e-07
1.787402e+01,-2.390915e-07,-2.415046e-07
1.811024e+01,-2.443683e-07,-2.468057e-07
1.834646e+01,-2.500147e-07,-2.521992e-07
1.858268e+01,-2.549963e-07,-2.576271e-07
1.881890e+01,-2.600228e-07,-2.617411e-07
1.905512e+01,-2.633257e-07,-2.656652e-07
1.929134e+01,-2.688552e-07,-2.712735e-07
1.952756e+01,-2.735917e-07,-2.764358e-07
1.976378e+01,-2.798919e-07,-2.822004e-07
2.000000e+01,-2.859410e-07,-2.879923e-07
