TIME,2026-06-12T15:25:39,
,,
PARAMETER,VALUE,2SIGMA
BEAM SPEED (m/s),31254.802953920218,2563.0607784762883
BEAM ENERGY (eV),20.259061534630554,3.3227025046169008
BEAM DENSITY - FIT (m^-3),988506451559.2177,184493462697.09708
BEAM DENSITY - SATURATION (m^-3),nan,nan
BEAM TEMPERATURE (eV),12.846264665899108,4.647471579763404
THERMAL SPEED (m/s),17598.697983436654,3183.394194577609
AFLVEN SPEED (m/s),440252.88815816713,41084.09189974429
PLASMA FREQUENCY (rad/s),656693.4783537913,61282.17654067285
DEBYE LENGTH (m),0.026798953489767137,0.005454688467284999
