TIME,2026-06-12T19:05:24,
SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),-1.0000,10.0000
NUM SWEEP STEPS,36,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
-1.000000e+00,-1.372426e-10,-3.608479e-10
-6.857143e-01,-1.164139e-10,-4.313966e-10
-3.714286e-01,-1.354331e-10,-4.594935e-10
-5.714286e-02,-1.285298e-10,-5.123946e-10
2.571429e-01,-1.237836e-10,-5.248483e-10
5.714286e-01,-1.322737e-10,-5.786196e-10
8.857143e-01,-1.568184e-10,-6.051575e-10
1.200000e+00,-1.831724e-10,-6.297872e-10
1.514286e+00,-2.362422e-10,-6.378419e-10
1.828571e+00,-2.828539e-10,-6.522937e-10
2.142857e+00,-3.242674e-10,-6.567073e-10
2.457143e+00,-3.627232e-10,-6.608985e-10
2.771429e+00,-3.959320e-10,-6.928381e-10
3.085714e+00,-4.479227e-10,-6.918220e-10
3.400000e+00,-4.532119e-10,-7.117949e-10
3.714286e+00,-4.607069e-10,-7.110985e-10
4.028571e+00,-4.899839e-10,-7.203576e-10
4.342857e+00,-5.059551e-10,-7.222994e-10
4.657143e+00,-5.078197e-10,-7.338423e-10
4.971429e+00,-5.166858e-10,-7.480155e-10
5.285714e+00,-5.365396e-10,-7.336052e-10
5.600000e+00,-5.588995e-10,-7.517888e-10
5.914286e+00,-5.663320e-10,-7.554641e-10
6.228571e+00,-5.628941e-10,-7.575668e-10
6.542857e+00,-5.719407e-10,-7.577063e-10
6.857143e+00,-5.766312e-10,-7.569053e-10
7.171429e+00,-5.812381e-10,-7.684129e-10
7.485714e+00,-5.942310e-10,-7.671531e-10
7.800000e+00,-5.828797e-10,-7.703130e-10
8.114286e+00,-5.951352e-10,-7.806789e-10
8.428571e+00,-6.094295e-10,-7.927783e-10
8.742857e+00,-6.190955e-10,-7.749011e-10
9.057143e+00,-6.083296e-10,-7.868894e-10
9.371429e+00,-5.968751e-10,-7.860395e-10
9.685714e+00,-6.069800e-10,-7.996628e-10
1.000000e+01,-5.991994e-10,-8.031445e-10
