TIME,2026-06-12T19:09:22,
SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),-1.0000,10.0000
NUM SWEEP STEPS,47,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
-1.000000e+00,-1.205547e-10,-3.715965e-10
-7.608696e-01,-1.191907e-10,-4.117368e-10
-5.217391e-01,-1.188009e-10,-4.271780e-10
-2.826087e-01,-1.188149e-10,-4.704993e-10
-4.347826e-02,-1.201858e-10,-4.889827e-10
1.956522e-01,-1.168316e-10,-5.255587e-10
4.347826e-01,-1.210766e-10,-5.361955e-10
6.739130e-01,-1.229834e-10,-5.681081e-10
9.130435e-01,-1.437770e-10,-5.843072e-10
1.152174e+00,-1.804373e-10,-6.085062e-10
1.391304e+00,-2.146553e-10,-6.110606e-10
1.630435e+00,-2.543499e-10,-6.241625e-10
1.869565e+00,-2.938773e-10,-6.388650e-10
2.108696e+00,-3.091521e-10,-6.556565e-10
2.347826e+00,-3.435786e-10,-6.586292e-10
2.586957e+00,-3.655835e-10,-6.715916e-10
2.826087e+00,-3.950689e-10,-6.746750e-10
3.065217e+00,-4.026615e-10,-6.903736e-10
3.304348e+00,-4.298641e-10,-6.701715e-10
3.543478e+00,-4.466843e-10,-6.777524e-10
3.782609e+00,-4.722869e-10,-6.941121e-10
4.021739e+00,-4.785082e-10,-6.979622e-10
4.260870e+00,-4.914102e-10,-7.117587e-10
4.500000e+00,-5.058088e-10,-7.191810e-10
4.739130e+00,-5.142084e-10,-7.250006e-10
4.978261e+00,-5.274235e-10,-7.148294e-10
5.217391e+00,-5.310909e-10,-7.309109e-10
5.456522e+00,-5.281961e-10,-7.297626e-10
5.695652e+00,-5.498038e-10,-7.354011e-10
5.934783e+00,-5.525459e-10,-7.333261e-10
6.173913e+00,-5.608690e-10,-7.391253e-10
6.413043e+00,-5.554825e-10,-7.411445e-10
6.652174e+00,-5.676959e-10,-7.257872e-10
6.891304e+00,-5.670271e-10,-7.534244e-10
7.130435e+00,-5.681409e-10,-7.395713e-10
7.369565e+00,-5.751210e-10,-7.492199e-10
7.608696e+00,-5.684824e-10,-7.540089e-10
7.847826e+00,-5.942929e-10,-7.545599e-10
8.086957e+00,-5.908902e-10,-7.634208e-10
8.326087e+00,-5.862551e-10,-7.733699e-10
8.565217e+00,-5.876677e-10,-7.510575e-10
8.804348e+00,-5.905422e-10,-7.665963e-10
9.043478e+00,-5.954555e-10,-7.520049e-10
9.282609e+00,-5.965204e-10,-7.712601e-10
9.521739e+00,-5.981972e-10,-7.572883e-10
9.760870e+00,-5.979953e-10,-7.699094e-10
1.000000e+01,-6.532366e-10,-7.669577e-10
