SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),0.0000,16.0000
NUM SWEEP STEPS,32,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,

Voltage (V),Meter current (A),Source current (A)
0.000000e+00,-9.053388e-11,-1.240085e-10
5.161290e-01,-8.920473e-11,-1.375069e-10
1.032258e+00,-8.987969e-11,-1.502048e-10
1.548387e+00,-9.270509e-11,-1.572012e-10
2.064516e+00,-8.612170e-11,-1.653534e-10
2.580645e+00,-8.973354e-11,-1.640931e-10
3.096774e+00,-8.814691e-11,-1.786569e-10
3.612903e+00,-9.087488e-11,-1.892664e-10
4.129032e+00,-8.434717e-11,-1.976690e-10
4.645161e+00,-8.966394e-11,-1.982051e-10
5.161290e+00,-9.446574e-11,-2.024723e-10
5.677419e+00,-9.410388e-11,-2.053963e-10
6.193548e+00,-8.722827e-11,-2.128939e-10
6.709677e+00,-9.286515e-11,-2.126222e-10
7.225806e+00,-8.894024e-11,-2.197440e-10
7.741935e+00,-9.633774e-11,-2.310773e-10
8.258065e+00,-9.109050e-11,-2.278820e-10
8.774194e+00,-8.978922e-11,-2.381851e-10
9.290323e+00,-9.198826e-11,-2.466434e-10
9.806452e+00,-9.501551e-11,-2.408236e-10
1.032258e+01,-8.449334e-11,-2.483350e-10
1.083871e+01,-9.138285e-11,-2.471792e-10
1.135484e+01,-9.356110e-11,-2.653628e-10
1.187097e+01,-9.025544e-11,-2.552269e-10
1.238710e+01,-8.932996e-11,-2.657945e-10
1.290323e+01,-9.221102e-11,-2.631561e-10
1.341935e+01,-9.221099e-11,-2.747122e-10
1.393548e+01,-9.326179e-11,-2.771279e-10
1.445161e+01,-9.759042e-11,-2.728744e-10
1.496774e+01,-8.779198e-11,-2.655647e-10
1.548387e+01,-9.215539e-11,-2.862474e-10
1.600000e+01,-9.315043e-11,-2.802394e-10
